model_key,model_name,group_type,group_value,bleu,chrfpp,ter,n,exact_match_rate,normalized_exact_match_rate,empty_output_rate,source_copy_rate,prompt_leakage_rate,extra_explanation_rate,avg_token_f1,avg_rouge_l_f1,avg_edit_similarity,avg_length_ratio,avg_abs_length_ratio_error,avg_repetition_rate,avg_sentence_chrfpp,avg_sentence_bleu,avg_latency_seconds,bertscore_f1,comet
fine_tuned_llama,Fine-tuned Llama 3.2 1B,overall,overall,51.23430203959227,68.37614621368887,37.3652133145804,300,0.20666666666666667,0.22333333333333333,0.0,0.0,0.0,0.0,0.7302373621562246,0.7170279064844928,0.8207049613107751,1.0154449023199024,0.09649673012173013,0.0004761904761904762,69.32149734699739,49.87046748687905,0.5222846740800007,0.9200326855977377,0.9047623642285665
opus_mt_tc_big,OPUS-MT tc-big,overall,overall,40.44111927314907,61.19461255561686,42.19409282700422,300,0.14,0.14,0.0,0.0,0.0,0.0,0.6766757699537617,0.6609485962502721,0.7910612873156875,0.9773187830687831,0.08715000740000739,0.0010317460317460319,62.57049505063501,41.39311941873304,0.11915802447333287,0.9075434380769729,0.891005261739095
nllb_200_distilled_600m,NLLB-200 distilled 600M,overall,overall,36.55718194127912,57.36411641059046,46.69479606188467,300,0.11,0.11,0.0,0.0,0.0,0.0,0.6251015273086185,0.6109484866887586,0.7641884035984234,0.9796860038110037,0.09870880508380507,0.0005555555555555556,57.96606082813167,36.86760273360173,0.19027380287333326,0.8949740755558014,0.8738417485356331
m2m100_418m,M2M100 418M,overall,overall,29.67546460505977,51.62755540499605,52.97702766057196,300,0.06,0.06333333333333334,0.0,0.0,0.0,0.0,0.5667900811794666,0.5525407876379531,0.7113386132968249,0.9649524225774225,0.12660104247604248,0.001142857142857143,51.24573922379578,30.086679068042166,0.20509986384999895,0.875964150428772,0.8406717291474343
mbart50_mmt,mBART-50 many-to-many,overall,overall,26.03552554453773,46.43147449815284,59.82184716361931,300,0.03333333333333333,0.03666666666666667,0.0,0.0,0.0,0.0,0.4974977110272587,0.483455942694536,0.6681662290326806,1.002229885854886,0.13046410533910532,0.0012962962962962963,46.19670165330351,25.637903863596165,0.25963548020666766,0.855742990175883,0.7894616704185804
base_llama,Base Llama 3.2 1B,overall,overall,4.8165022252020995,15.687904934409072,115.70557899671823,300,0.0,0.0033333333333333335,0.0,0.23,0.16,0.056666666666666664,0.112338845572055,0.10439562999782294,0.3051157333384551,1.1696898795648796,0.5256913133163134,0.005784188034188034,15.117403445815228,6.580546450759381,0.47144994348333197,0.6864433286587397,0.576556731959184
