model_name,n,BLEU,chrF++,chrF++_95CI,TER,BERTScore_F1,COMET,ROUGE_L_F1,Token_F1,Edit_similarity,Length_ratio,Length_error,Repetition_rate,src_copy%,leak%,latency_s
Fine-tuned Llama 3.2 1B,300,51.23,68.38,"[65.6, 70.7]",37.37,0.92,0.9048,0.717,0.7302,0.8207,1.015,0.096,0.0005,0.0,0.0,0.522
OPUS-MT tc-big,300,40.44,61.19,"[58.9, 63.3]",42.19,0.9075,0.891,0.6609,0.6767,0.7911,0.977,0.087,0.001,0.0,0.0,0.119
NLLB-200 distilled 600M,300,36.56,57.36,"[54.8, 59.7]",46.69,0.895,0.8738,0.6109,0.6251,0.7642,0.98,0.099,0.0006,0.0,0.0,0.19
M2M100 418M,300,29.68,51.63,"[49.2, 53.9]",52.98,0.876,0.8407,0.5525,0.5668,0.7113,0.965,0.127,0.0011,0.0,0.0,0.205
mBART-50 many-to-many,300,26.04,46.43,"[44.3, 48.7]",59.82,0.8557,0.7895,0.4835,0.4975,0.6682,1.002,0.13,0.0013,0.0,0.0,0.26
Base Llama 3.2 1B,300,4.82,15.69,"[14.0, 17.6]",115.71,0.6864,0.5766,0.1044,0.1123,0.3051,1.17,0.526,0.0058,23.0,16.0,0.471
