comparison,baseline_model_key,n_paired_examples,mean_delta_sentence_chrfpp,median_delta_sentence_chrfpp,win_rate_sentence_chrfpp,tie_rate_sentence_chrfpp,loss_rate_sentence_chrfpp,mean_delta_sentence_bleu,median_delta_sentence_bleu,win_rate_sentence_bleu,tie_rate_sentence_bleu,loss_rate_sentence_bleu,mean_delta_token_f1,median_delta_token_f1,win_rate_token_f1,tie_rate_token_f1,loss_rate_token_f1,mean_delta_rouge_l_f1,median_delta_rouge_l_f1,win_rate_rouge_l_f1,tie_rate_rouge_l_f1,loss_rate_rouge_l_f1,mean_delta_edit_similarity,median_delta_edit_similarity,win_rate_edit_similarity,tie_rate_edit_similarity,loss_rate_edit_similarity,mean_delta_bertscore_f1,median_delta_bertscore_f1,win_rate_bertscore_f1,tie_rate_bertscore_f1,loss_rate_bertscore_f1,mean_delta_comet,median_delta_comet,win_rate_comet,tie_rate_comet,loss_rate_comet
Fine-tuned Llama 3.2 1B vs Base Llama 3.2 1B,base_llama,300,54.20409390118217,55.30576415647522,0.9866666666666667,0.0,0.013333333333333334,43.289921036119665,39.23771588669206,0.9733333333333334,0.0,0.02666666666666667,0.6178985165841697,0.647200909349247,0.9666666666666667,0.01,0.023333333333333334,0.6126322764866697,0.6456447963800904,0.9666666666666667,0.013333333333333334,0.02,0.5155892279723199,0.5359619797286003,0.98,0.0033333333333333335,0.016666666666666666,0.2335893569389979,0.2364068627357483,0.9933333333333333,0.0,0.006666666666666667,0.3282056322693825,0.32514166831970215,0.9766666666666667,0.0,0.023333333333333334
Fine-tuned Llama 3.2 1B vs M2M100 418M,m2m100_418m,300,18.075758123201616,17.187316185293845,0.74,0.03333333333333333,0.22666666666666666,19.783788418836885,14.821234829502897,0.7033333333333334,0.06666666666666667,0.23,0.16344728097675798,0.1511904761904762,0.69,0.1,0.21,0.16448711884653974,0.15384615384615385,0.68,0.10333333333333333,0.21666666666666667,0.10936634801395004,0.09745250330155991,0.7133333333333334,0.05,0.23666666666666666,0.04406853516896566,0.037977755069732666,0.7166666666666667,0.03333333333333333,0.25,0.06409063508113225,0.04010486602783203,0.72,0.02666666666666667,0.25333333333333335
Fine-tuned Llama 3.2 1B vs mBART-50 many-to-many,mbart50_mmt,300,23.12479569369388,22.20229129794201,0.7966666666666666,0.02,0.18333333333333332,24.23256362328288,19.179467206955202,0.7633333333333333,0.043333333333333335,0.19333333333333333,0.232739651128966,0.22222222222222213,0.77,0.08333333333333333,0.14666666666666667,0.23357196378995682,0.22222222222222213,0.7666666666666667,0.07666666666666666,0.15666666666666668,0.15253873227809445,0.1528716583894852,0.7933333333333333,0.02666666666666667,0.18,0.06428969542185466,0.060671985149383545,0.78,0.013333333333333334,0.20666666666666667,0.11530069380998612,0.08723044395446777,0.7966666666666666,0.013333333333333334,0.19
Fine-tuned Llama 3.2 1B vs NLLB-200 distilled 600M,nllb_200_distilled_600m,300,11.355436518865714,9.31538523846654,0.63,0.07,0.3,13.002864753277318,7.641045524502604,0.59,0.08666666666666667,0.3233333333333333,0.10513583484760619,0.10566188197767162,0.5866666666666667,0.13666666666666666,0.27666666666666667,0.10607941979573414,0.10263157894736846,0.5833333333333334,0.14333333333333334,0.2733333333333333,0.05651655771235154,0.04134625458355162,0.5666666666666667,0.07666666666666666,0.3566666666666667,0.025058610041936238,0.01993754506111145,0.6166666666666667,0.05333333333333334,0.33,0.0309206156929334,0.01884368062019348,0.6266666666666667,0.05333333333333334,0.32
Fine-tuned Llama 3.2 1B vs OPUS-MT tc-big,opus_mt_tc_big,300,6.751002296362383,5.07490614333901,0.57,0.08333333333333333,0.3466666666666667,8.47734806814601,3.072365049729218,0.5466666666666666,0.11666666666666667,0.33666666666666667,0.05356159220246309,0.055555555555555525,0.52,0.18,0.3,0.0560793102342207,0.06983927907840953,0.5333333333333333,0.16666666666666666,0.3,0.029643673995087452,0.026969479976998778,0.5466666666666666,0.09,0.36333333333333334,0.01248924752076467,0.010591268539428711,0.56,0.06333333333333334,0.37666666666666665,0.013757102489471436,0.007131099700927734,0.5466666666666666,0.07666666666666666,0.37666666666666665
